medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Silver Medal,2,2024-08-04,MEG HARRIS,AUS,W,Swimming,Women's 50m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--,1946212
Bronze Medal,3,2024-08-04,ZHANG YUFEI,CHN,W,Swimming,Women's 50m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--,1945125
Gold Medal,1,2024-08-04,FAN ZHENDONG,CHN,M,Table Tennis,Men's Singles,HATH,/en/paris-2024/results/table-tennis/men-s-singles/fnl-000100--,1902295
Silver Medal,2,2024-08-04,TRULS MOREGARD,SWE,M,Table Tennis,Men's Singles,HATH,/en/paris-2024/results/table-tennis/men-s-singles/fnl-000100--,1563390
Bronze Medal,3,2024-08-04,FELIX LEBRUN,FRA,M,Table Tennis,Men's Singles,HATH,/en/paris-2024/results/table-tennis/men-s-singles/fnl-000200--,1889177
Gold Medal,1,2024-08-04,NOVAK DJOKOVIC,SRB,M,Tennis,Men's Singles,HATH,/en/paris-2024/results/tennis/men-s-singles/fnl-000100--,1956398
Silver Medal,2,2024-08-04,CARLOS ALCARAZ,ESP,M,Tennis,Men's Singles,HATH,/en/paris-2024/results/tennis/men-s-singles/fnl-000100--,1563682
Gold Medal,1,2024-08-04,ERRANI/PAOLINI,ITA,W,Tennis,Women's Doubles,HCOUP,/en/paris-2024/results/tennis/women-s-doubles/fnl-000100--,TENWDOUBLES-ITA01
Silver Medal,2,2024-08-04,ANDREEVA/SHNAIDER,AIN,W,Tennis,Women's Doubles,HCOUP,/en/paris-2024/results/tennis/women-s-doubles/fnl-000100--,TENWDOUBLES-AIN02
Bronze Medal,3,2024-08-04,BUCSA/SORRIBES TORMO,ESP,W,Tennis,Women's Doubles,HCOUP,/en/paris-2024/results/tennis/women-s-doubles/fnl-000200--,TENWDOUBLES-ESP01
Gold Medal,1,2024-08-05,NETHERLANDS,NED,M,3x3 Basketball,Men,HTEAM,/en/paris-2024/results/3x3-basketball/men/fnl-000100--,BK3MTEAM3---NED01
Silver Medal,2,2024-08-05,FRANCE,FRA,M,3x3 Basketball,Men,HTEAM,/en/paris-2024/results/3x3-basketball/men/fnl-000100--,BK3MTEAM3---FRA01
Bronze Medal,3,2024-08-05,LITHUANIA,LTU,M,3x3 Basketball,Men,HTEAM,/en/paris-2024/results/3x3-basketball/men/fnl-000200--,BK3MTEAM3---LTU01
Gold Medal,1,2024-08-05,GERMANY,GER,W,3x3 Basketball,Women,HTEAM,/en/paris-2024/results/3x3-basketball/women/fnl-000100--,BK3WTEAM3---GER01
